id;product_id;user_id;status;order_placed_date_and_time;order_completed_date_and_time
1;48469;32217;input synthesize Orchestrator;2021-08-17T04:51:58;2021-08-17T02:24:44
2;6249;69947;Eritrea;2021-08-17T00:01:52;2021-08-17T06:45:42
3;50210;44495;Buckinghamshire Orchestrator;2021-08-17T11:22:12;2021-08-17T14:15:03
4;87953;61371;Lek Pike;2021-08-17T17:40:18;2021-08-17T09:29:35
5;40818;60230;feed Oval Creek;2021-08-17T00:38:30;2021-08-17T15:02:26
6;14754;44552;Factors multi-tasking;2021-08-17T17:40:39;2021-08-16T23:13:49
7;89163;12713;overriding web-enabled;2021-08-17T01:52:22;2021-08-17T04:19:50
8;85604;9776;Grove client-server;2021-08-17T11:20:29;2021-08-17T07:39:43
9;9978;28537;proactive Practical impactful;2021-08-17T00:52:27;2021-08-17T17:30:21
10;67766;82587;Health Dam Shoes;2021-08-16T19:32:04;2021-08-17T00:50:08
